Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NFLX","NETFLIX INC","Communication","Equity","5,113,353.92","0.88","5,113,353.92","10,832.00","472.06","United States","NASDAQ","USD","1.00","USD","-"
"1357","MEITU INC","Communication","Equity","5,112,022.14","0.88","5,112,022.14","10,554,500.00","0.48","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"ANSS","ANSYS INC","Information Technology","Equity","5,106,017.07","0.88","5,106,017.07","17,281.00","295.47","United States","NASDAQ","USD","1.00","USD","-"
"2498","HTC CORP","Information Technology","Equity","5,093,579.63","0.87","5,093,579.63","3,132,000.00","1.63","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"2344","WINBOND ELECTRONICS CORP","Information Technology","Equity","5,072,808.49","0.87","5,072,808.49","5,550,150.00","0.91","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","5,057,774.40","0.87","5,057,774.40","19,334.00","261.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","5,035,656.40","0.86","5,035,656.40","548,500.00","9.18","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","5,031,858.85","0.86","5,031,858.85","88,998.00","56.54","Korea (South)","Korea Exchange (Stock Market)","USD","1,296.45","KRW","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","4,929,226.08","0.85","4,929,226.08","13,296.00","370.73","United States","NASDAQ","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","4,899,324.75","0.84","4,899,324.75","97,499.00","50.25","United States","NASDAQ","USD","1.00","USD","-"
